Title,Date,Press,Description
[속보] 이스라엘군 “하마스 지도자 신와르 사망 가능성 확인 중”,4주 전,경향신문언론사 선정,이스라엘군이 팔레스타인 무장정파 하마스의 지도자 야히야 신와르가 사망했을 가능성을 확인하고 있다고 17일(현지시간) 밝혔다. 일간 타임스오브이스라엘에 따르면 이스라엘군은 이날 성명을 내고 “가자지구에서 작전을 수행하던 중 테러리스트 3명을 사살했다”면서 “군과 신베트(이스라엘 국내...
"[속보] 日이시바, 납북피해자 가족 면담…""북일 정상 솔직한 대화 중요...",2024.10.17.,연합뉴스언론사 선정,
[속보] '이태원참사 부실대응' 김광호 전 서울청장 1심 무죄,2024.10.17.,한국경제언론사 선정,이태원 참사에 부실 대응한 혐의로 재판에 넘겨진 김광호(60·사진) 전 서울경찰청장이 1심에서 무죄를 선고받았다. 서울서부지법 형사합의12부(권성수 부장판사)는 17일 업무상과실치사상 혐의로 기소된 김 전 청장에게 무죄를 선고했다. 김 전 청장은 이태원 참사 대응으로 기소된 경찰 간부 중 최고위직이다....
"[속보] ECB, 2연속 금리인하…예금금리 3.50％→3.25％",4주 전,매일경제언론사 선정,"유럽중앙은행(ECB)이 지난달에 이어 2회 연속 정책금리를 인하했다. 17일(현지시간) ECB는 슬로베니아 류블랴나에서 통화정책이사회를 열고 기준금리를 연 3.65％에서 3.40％로, 예금금리를 연 3.50％에서 3.25％로 각각 0.25％포인트 내렸다고 밝혔다. 한계대출금리도 연 3.90％에서 3.65％로 인하했다...."
[속보]한강 작가 “현재 계획해 둔 소설은 3권”,4주 전,문화일보언론사 선정,17일 오후 한강 작가가 참석해 수상 소감을 전한 제18회 포니정 혁신상 시상식장 앞은 3시간 전부터 팬과 기자들이 몰려 붐볐다. 시상식을 주관하는 포니정 재단은 한 작가의 이동에 경호 등을 지원한 것으로 알려졌다. 현장 행사 진행 요원들은 오후 4시 50분쯤 한 작가가 이미 시상식장 내부로 들어갔음을...
[속보] 대통령실 “폴란드 대통령 22~25일 방한…한-폴 정상회담 예정”,4주 전,세계일보,연합뉴스 대통령실 “폴란드 대통령 22~25일 방한…한-폴 정상회담 예정”
"[속보] 검찰, '도이치 주가조작 의혹' 김건희 여사 불기소",2024.10.17.,YTN언론사 선정,검찰이 도이치모터스 주가 조작 의혹을 받는 윤석열 대통령의 부인 김건희 여사에 대해 불기소 처분을 내렸습니다. 서울중앙지방검찰청은 오늘(17일) 김 여사가 범행에 가담했거나 공모했다는 점을 인정하기 어렵다며 불기소 처분했습니다. 검찰은 시세 조종 의혹이 제기된 김 여사 명의 계좌 6개를 분석한 결과...
"[속보] 용산 ""재보선서 부족한 부분, 국민 뜻 받들어 바꿀 것""",2024.10.17.,중앙일보언론사 선정,"대통령실은 17일 10·16 재·보궐선거 결과와 관련해 ""부족한 부분은 국민의 뜻을 받아들여 바꿔 나가겠다""고 밝혔다. 대통령실 관계자는 이날 오전 “어려움이 있더라도 4대 개혁과 저출생 극복 등 개혁 방안을 흔들림없이 추진해 미래로 나아가겠다”며 이같이 말했다. 기초자치단체장 4명을 뽑은 전날 선거에서..."
"[속보] 대만 TSMC, 3분기 순익 전년대비 54% 급증",2024.10.17.,매일경제언론사 선정,대만 TSMC가 올해 3분기에 시장 예상을 뛰어넘는 14조원에 육박하는 순이익을 기록했다. 17일 로이터통신 등에 따르면 세계 최대 파운드리(반도체 위탁생산) 업체 대만 TSMC의 올해 3분기 순이익은 3253억 대만달러(약 13조8000억원)으로 전년 동기 대비 54.2% 급증한 것으로 집계됐다. 이는...
[속보]한강 “지난 일주일 저에겐 특별한 감동” 소감 밝혀,4주 전,문화일보언론사 선정,한국 최초로 노벨문학상을 수상한 한강 작가가 그간의 침묵을 깨고 수상 소감을 전했다. 17일 오후 서울 강남구 아이파크타워 포니정홀에서 열린 제18회 포니정 혁신상 시상식에 참석해 수상의 놀라움과 감동을 밝혔다. 그는 “수상 통보를 막 받았을 때에는 사실 현실감이 들지는 않아서 그저 침착하게 대화를...
"[속보] 檢, 김 여사 '도이치모터스' 불기소 처분... 4년 6개월만",2024.10.17.,중앙일보언론사 선정,"검찰이 김건희 여사의 도이치모터스 시세조종 가담 의혹 사건에 대해 불기소 처분을 내렸다. 이에 따라 김 여사는 지난 2020년 4월 해당 의혹으로 검찰에 고발된 지 4년 6개월 만에 무혐의 판단을 받게 됐다. 서울중앙지검 반부패수사제2부(부장검사 최재훈)는 17일 오전 ""대통령 배우자의 도이치모터스 시세조종..."
"[속보] 젤렌스키 ""北, 1만여명 파병 준비중…일부 이미 러 점령영토에""",4주 전,한국경제언론사 선정,"볼로디미르 젤렌스키 우크라이나 대통령이 17일(현지시간) 북한이 총 1만여명의 인력을 러시아에 파병하기 위해 준비 중이라는 정보가 있다고 밝혔다. 젤렌스키 대통령은 이날 오후 벨기에 브뤼셀 EU 정상회의 참석 뒤 기자회견에서 ""우리 정보당국에 따르면 지상군, 기술자 등 여러 종류의 인력을 모두 합해..."
"[속보] 검찰, '도이치 주가조작 의혹' 김건희 여사 불기소",2024.10.17.,YTN언론사 선정,검찰이 도이치모터스 주가 조작 의혹을 받는 윤석열 대통령의 부인 김건희 여사에 대해 불기소 처분을 내렸습니다. 서울중앙지방검찰청은 오늘(17일) 김 여사가 범행에 가담했거나 공모했다는 점을 인정하기 어렵다며 불기소 처분했습니다. 검찰은 시세 조종 의혹이 제기된 김 여사 명의 계좌 6개를 분석한 결과...
"[속보] 용산 ""재보선서 부족한 부분, 국민 뜻 받들어 바꿀 것""",2024.10.17.,중앙일보언론사 선정,"대통령실은 17일 10·16 재·보궐선거 결과와 관련해 ""부족한 부분은 국민의 뜻을 받아들여 바꿔 나가겠다""고 밝혔다. 대통령실 관계자는 이날 오전 “어려움이 있더라도 4대 개혁과 저출생 극복 등 개혁 방안을 흔들림없이 추진해 미래로 나아가겠다”며 이같이 말했다. 기초자치단체장 4명을 뽑은 전날 선거에서..."
[속보] 한동훈 “김여사 대외활동 중단해야…대통령실 인적쇄신 시급”,2024.10.17.,매일경제언론사 선정,"한동훈 국민의힘 대표는 17일 “김건희 여사가 대선 당시 약속처럼 대외활동을 중단해야 한다”고 밝혔다. 한 대표는 이날 국회에서 열린 최고위원회의에서 “국민의 걱정과 우려를 이번에 반드시 해소해야 한다”며 “김 여사 관련 대통령실 인적 쇄신이 반드시, 시급하게 필요하다. 제기되는 의혹에 대해..."
"[속보] 검찰, '도이치모터스 주가조작 의혹' 김건희 여사 무혐의 처분",2024.10.17.,한국경제언론사 선정,"김건희 여사의 도이치모터스 주가조작 공모·방조 의혹을 수사한 검찰이 17일 김 여사에게 공모 혐의가 없다고 보고 불기소 처분했다. 서울중앙지검 반부패수사2부(최재훈 부장검사)는 이날 ""대통령 배우자의 도이치 시세조종 가담 의혹 사건 관련 피의자 김건희를 불기소 처분했다""고 밝혔다. 2020년 4월 당시..."
"[속보] 대통령실, 선거 결과 관련 ""의료개혁 등 흔들림없이 추진""",2024.10.17.,YTN언론사 선정,"- 대통령실, 투표 결과에 ""의료개혁 흔들림없이 추진"" - ""부족한 부분은 국민 뜻을 받아들여 바꿔나갈 것"" ◇ 자세한 뉴스가 곧 이어집니다."
[속보]'이태원 참사 부실 대응 혐의' 김광호 전 서울청장 무죄,2024.10.17.,중앙일보언론사 선정,이태원 참사에 부실하게 대응한 혐의로 재판에 넘겨진 피고인 중 경찰 최고위직인 김광호(60) 전 서울경찰청장이 1심에서 무죄를 선고받았다. 2022년 10월29일 이태원 참사가 발생한 지 약 2년 만이다. 당시 시민 159명이 목숨을 잃었다. 서울서부지법 형사합의12부(부장판사 권성수)는 17일 오전 10시30분 업무상...
