Title,Date,Press,Description
"[속보] 이스라엘군, 레바논 남부 접경 마을 20여곳 소개령",2024.10.01.,연합뉴스언론사 선정,
"[속보] 나토 “한국 등 인태 4개국, 나토 국방장관회의 첫 참석 예정”",2024.10.01.,매일경제언론사 선정,"한국을 포함한 인도태평양 4개국(IP4)이 이달 열리는 북대서양조약기구(NATO·나토 국방장관회의에 처음으로 참석한다. 마르크 뤼터 북대서양조약기구(NATO·나토) 신임 사무총장은 1일(현지시간) 벨기에 브뤼셀 나토 본부에서 열린 취임 기자회견에서 “호주, 일본, 뉴질랜드와 한국이 나토 국방장관회의에..."
"[속보] 이시바 시게루, 일본 총리 공식 선출…오늘 새 내각 출범",2024.10.01.,중앙일보언론사 선정,"이시바 시게루(67) 일본 집권 자민당 신임 총재가 1일 새 총리로 선출됐다. 이시바 총리는 이날 오후 중의원(하원)과 참의원(상원) 본회의에서 열린 총리 지명 선거에서 각각 과반 표를 얻어 일본 제102대 총리로 뽑혔다. 이시바 총리는 12선 의원으로 농림수산상, 지방창생담당상, 방위상 등을 거쳤다. 그는..."
"[속보] 헤즈볼라 ""텔아비브 인근 모사드 본부 미사일 공격""",2024.10.01.,강원도민일보언론사 선정,"레바논 무장정파 헤즈볼라가 1일(현지시간) 이스라엘 중심도시 텔아비브 인근의 모사드(이스라엘 해외 정보기관) 본부를 미사일로 공격했다. 헤즈볼라는 이날 성명을 통해 ""이스라엘 군사정보부대인 8200부대와 모사드의 본부가 있는 텔아비브 외곽의 글릴로트 기지에 파디-4 미사일을 발사했다""고 발표했다...."
"[속보] 이스라엘 ""레바논 수도 베이루트 정밀 폭격""",2024.10.01.,TV조선언론사 선정,"이스라엘 ""레바논 수도 베이루트 정밀 폭격"""
[속보]9월 수출 7.5% 증가…반도체 136억달러 ‘역대 최대’,2024.10.01.,경향신문언론사 선정,"산업통상자원부는 올해 9월 수출은 전년 같은 달보다 7.5% 증가한 587억7000만달러, 수입은 2.2% 증가한 521억2000만달러, 무역수지는 66억6000만달러 흑자를 기록했다고 1일 밝혔다. 9월 수출 실적은 역대 9월 중 최대 규모로, 12개월 연속 플러스 흐름을 이어갔다. 추석 연휴 등으로 조업 일수가 적었던 9월의..."
[속보]광양 23층 아파트서 투신 19세女…극적 구조 성공,2024.10.01.,문화일보언론사 선정,아파트 23층 옥상에서 스스로 목숨을 끊으려던 10대 여성이 안전하게 구조됐다. 이 여성은 남자 친구와 말다툼 후 이 같은 행동을 한 것으로 알려졌다. 광양소방서에 따르면 1일 오전 11시 10분쯤 광양시 중동 한 아파트 23층 옥상에서 자살시도자가 있다는 신고가 접수됐다. 신고를 확인한 광양소방서는 구조대...
"[속보] 이스라엘군 ""레바논 남부 '지상 습격' 시작…헤즈볼라 테러 목표...",2024.10.01.,서울경제언론사 선정,"이스라엘군이 레바논 남부 국경지역에 제한적, 국지적 지상 작전을 시작했다. 1일(현지시간) 이스라엘군은 오전 1시 50분께 성명을 통해 ""군은 레바논 남부 국경 지역의 헤즈볼라 테러 목표물에 대한 정확한 정보를 바탕으로 제한적이고 국지적이며 표적화된 ‘지상 습격(ground raids)’을 시작했다""고 발표했다...."
[속보]“北으로 돌아갈래”…마을버스 훔쳐 통일대교 건너려던 탈북민...,2024.10.01.,문화일보언론사 선정,북한으로 되돌아가겠다며 마을버스를 훔쳐 통일대교를 건너려던 탈북민이 1일 경찰에 붙잡혔다. 파주경찰서에 따르면 이날 오전 1시쯤 30대 남성 A 씨가 파주 문산읍의 한 차고지에 주차된 마을버스를 훔쳐 몰기 시작했다. 당시 버스 안에는 차량 키가 보관돼 있었다. A 씨는 통일대교 남단에서 북단 방향으로...
"[속보] 이시바, 일본 102대 총리로 선출…오늘 새 내각 출범",2024.10.01.,매일신문언론사 선정,이시바 시게루(67) 일본 자민당 신임 총재가 1일 오후 중의원(하원) 본회의에서 열린 총리 선출 투표에서 집권 자민당과 연립 여당인 공명당 지지 끝에 과반 표를 얻어 총리로 지명됐다. 이날 열릴 참의원(상원) 본회의 투표를 통과하면 이시바 총재는 일본 제102대 총리로 확정된다. 자민당은 공명당과 함께...
"[속보] 이스라엘, 레바논 접경지 봉쇄 거센 포격…지상전 조짐",2024.10.01.,매일경제언론사 선정,"이스라엘군이 30일(현지시간) 밤 자국 북부의 레바논 접경지를 봉쇄하는 등 레바논 침공 움직임을 보이고 있다고 예루살렘포스트, AP 통신 등이 보도했다. 보도에 따르면 이스라엘군은 이날 오후 8시 39분 메툴라, 미스가브암, 크파르길라디 등 레바논 국경에 접한 지역을 군사제한구역으로 선포했다...."
"[속보] 北유엔대사 ""합법적 자위권 놓고 과거로 돌아가지 않을 것""",2024.10.01.,연합뉴스언론사 선정,
"[속보] 윤대통령 ""북, 핵무기 사용 기도하는 그날 정권 종말의 날""",2024.10.01.,강원도민일보언론사 선정,"윤석열 대통령은 1일 북한을 향해 ""핵 무기 사용을 기도한다면 우리 군과 한미동맹의 결연하고 압도적인 대응에 직면하게 될 것이다. 그날이 바로 북한 정권 종말의 날이 될 것""이라고 경고했다. 윤 대통령은 이날 경기도 성남시 서울공항에서 열린 건군 76주년 국군의 날 기념식에서 기념사를 통해 ""북한 정권은..."
"[속보] 이시바, 일본 102대 총리로 선출…오늘 새 내각 출범",2024.10.01.,매일신문언론사 선정,이시바 시게루(67) 일본 자민당 신임 총재가 1일 오후 중의원(하원) 본회의에서 열린 총리 선출 투표에서 집권 자민당과 연립 여당인 공명당 지지 끝에 과반 표를 얻어 총리로 지명됐다. 이날 열릴 참의원(상원) 본회의 투표를 통과하면 이시바 총재는 일본 제102대 총리로 확정된다. 자민당은 공명당과 함께...
"[속보] 이스라엘군, 레바논 향해 ‘국지적 침공’ 시작···지상전 초읽...",2024.10.01.,경향신문언론사 선정,이스라엘이 레바논 무장정파 헤즈볼라를 겨냥한 지상전 움직임을 시작했다. 이스라엘군이 자국 북부의 레바논 접경지를 봉쇄하고 포격을 가하면서 이스라엘-헤즈볼라 간 충돌은 새로운 국면에 접어들게 됐다. AP통신에 따르면 이스라엘군은 1일(현지시간) 오전 1시 50분쯤 성명에서 “군은 레바논 남부 국경...
"[속보] 이스라엘 ""방공망 완벽 준비…이란, 공격시 대가치러야""",2024.10.01.,연합뉴스언론사 선정,
"[속보]비트코인 3% 대 급락, 6만4000 달러선 깨져…‘이시바 쇼크’ 탓?",2024.10.01.,문화일보언론사 선정,6만5000달러 선을 넘었던 가상화폐 대장주 비트코인이 30일(현지시간) 6만3000달러대로 후퇴했다. 미 가상화폐 거래소 코인베이스에 따르면 미 동부 시간 이날 오후 7시 30분 비트코인 1개당 가격은 24시간 전보다 3.45% 하락한 6만3290달러(8354만2800 원)에서 거래됐다. 전날까지 가격은 6만5000달러 선 위에서...
"[속보] 이스라엘 ""레바논 지상작전 되도록 신속히 완료""",2024.10.01.,연합뉴스언론사 선정,
"[속보] 日이시바 총리 ""납북 피해자 문제 해결에 강한 결의""",2024.10.01.,연합뉴스언론사 선정,
"[속보] ""헤즈볼라, 이스라엘 지상군 레바논 진입 부인""<AFP>",2024.10.01.,연합뉴스언론사 선정,
"[속보] 美백악관 ""이란, 이스라엘 직접 군사공격시 심각한 결과 있을것...",2024.10.01.,연합뉴스언론사 선정,
"[속보] 이스라엘 ""지난 1년간 레바논서 수십회 소규모 지상작전""",2024.10.01.,연합뉴스언론사 선정,
"[속보] 헤즈볼라 ""텔아비브 인근 모사드 본부 미사일 공격""",2024.10.01.,연합뉴스언론사 선정,
"[속보] 롯데 레이예스, 시즌 최종전서 202안타…최다안타 신기록",2024.10.01.,뉴스1,
[속보] 미국 동남부 항만 폐쇄·파업 시작…노사협상 결렬,2024.10.01.,뉴스1언론사 선정,
"[속보] 尹대통령 ""北, 핵무기 사용 기도하는 그날이 정권 종말의 날""",2024.10.01.,연합뉴스언론사 선정,
"[속보] 尹 “北, 핵무기 사용 기도하면 정권 종말”",2024.10.01.,중앙일보언론사 선정,"윤석열 대통령은 1일 “북한이 핵 사용을 기도한다면, 그날이 바로 정권 종말의 날이 될 것”이라고 경고했다. 윤 대통령은 이날 경기 성남시 서울공항에서 열린 ‘건군 76주년 국군의날’ 기념식에서 “북한 정권은 지금이라도 핵무기가 자신을 지켜준다는 망상에서 벗어나야 할 것”이라며 이같이 밝혔다. 윤..."
"[속보]이스라엘 '레바논 지상전' 시작했다…""국지적·제한적 지상 작전...",2024.10.01.,헤럴드경제언론사 선정,"이스라엘군이 레바논 남부 국경지역에 제한적, 국지적 지상 작전을 시작했다고 1일(현지시간) 밝혔다. 이스라엘군은 이날 오전 1시 50분께 ""군은 레바논 남부 국경 지역의 헤즈볼라 테러 목표물에 대한 정확한 정보를 바탕으로 제한적이고 국지적이며 표적화된 '지상 습격'(ground raids)을 시작했다""고 성명을..."
"[속보][뉴욕증시] 다우·S&P500, 사상 최고",2024.10.01.,파이낸셜뉴스언론사 선정,
[속보] 9월 자동차 수출 4.9% 증가…4개월만에 플러스 전환,2024.10.01.,연합뉴스언론사 선정,
"[속보]윤 ""북, 핵무기가 정권 지켜준다는 망상서 벗어나야""",2024.10.01.,뉴시스언론사 선정,후속기사가 이어집니다
"[속보] 日이시바 총리 ""중의원 9일 해산…27일 총선거""",2024.10.01.,연합뉴스언론사 선정,
"[속보] 美 ""이란, 이스라엘에 탄도미사일 발사 준비…공격 임박한 듯""",2024.10.01.,부산일보언론사 선정,"미국 백악관 고위 당국자가 1일(현지시간) 이란이 이스라엘을 겨냥해 탄도 미사일 발사를 준비하고 있으며 공격이 임박한 것으로 보인다고 밝혔다. 로이터와 AP통신, CNN 등에 따르면 이 당국자는 언론에 이 같은 이란의 공격 준비 정황 포착 사실을 공개하고, 이란이 직접 이스라엘에 대한 공격을 감행할 경우..."
"[속보] 이스라엘, 레바논 제한적 지상전 개시",2024.10.01.,뉴시스언론사 선정,후속기사가 이어집니다
"[속보] 尹대통령 ""군복에 자부심 갖도록 헌신에 합당한 처우 보장""",2024.10.01.,연합뉴스언론사 선정,
[속보]9월 수출 587.7억달러…전년比 7.5%↑,2024.10.01.,이데일리,산업통상자원부는 9월 수출이 전년대비 7.5% 증가한 587억7000만 달러를 기록해 ‘12개월 연속 수출 플러스’를 달성했다고 1일 밝혔다. 역대 8월 기준 최대 수출 실적이다. 같은 달 수입은 2.2% 증가한 521억2000만 달러를 기록했다. 이에 따라 무역수지는 66억6000만 달러 흑자를 기록했다. 최대 수출품목인...
[속보] 자동차 수출도 9월 중 최대 실적,2024.10.01.,아시아투데이,자동차 수출도 9월 중 최대 실적
"[속보] 헤즈볼라 ""레바논 국경 넘는 이스라엘군 움직임 포착""<로이터>",2024.10.01.,연합뉴스언론사 선정,
"[속보] 이시바 시게루, 일본 총리 선출…새 내각 출범",2024.10.01.,세계일보언론사 선정,"이시바 시게루 전 자민당 간사장이 지난달 27일 도쿄에서 투표 결과 제28대 총재로 선출된 후 당원들에게 인사하고 있다. 도쿄=AP/뉴시스 이시바 시게루, 일본 총리 선출…새 내각 출범"
"[속보] 이스라엘군, 레바논 베이루트 남부 마을에 대피 경고<로이터>",2024.10.01.,연합뉴스언론사 선정,
"[속보] 北유엔대사 ""美 누가 집권하든 미국이라는 국가 실체 상대할 것...",2024.10.01.,연합뉴스언론사 선정,
