Title,Date,Press,Description
[속보] 부산 미군기지에서 불...대응 1단계 발령,3주 전,YTN언론사 선정,부산에 있는 미군부대에서 불이 나 소방당국이 대응 1단계를 발령하고 진화 작업을 벌이고 있습니다. 주한미군의 군수 물자를 보관하는 55보급창에서 화재가 발생했는데요. 현재까지 인명 피해는 없는 것으로 파악됐는데요. 자세한 내용은 취재 기자 연결해 알아보겠습니다. 김다현 기자! [기자] 네...
"[속보] 尹 “우크라 살상무기 지원, 北 활동 따라 검토”",3주 전,매일경제언론사 선정,한-폴란드 정상회담 후 전격 발표 양국정상 北 우크라 파병에 우려 표명 “韓-유럽 넘어 전 세계 위협하는 도발” 윤석열 대통령은 24일 방한 중인 안제이 두다 폴란드 대통령과 정상회담을 하고 공동기자회견에서 “우리는 살상무기를 직접 공급하지 않는다는 원칙을 가지고 있었는데 더 유연하게 북한군의...
"[속보] 러 하원, 북러 조약 만장일치 비준",3주 전,뉴시스언론사 선정,후속기사가 이어집니다
"[속보] 우크라 ""북한군 2000명, 훈련 마치고 러 서부로 이동""",3주 전,중앙일보언론사 선정,북한군 병사 약 2000명이 훈련을 마치고 우크라이나 국경과 가까운 러시아 서부로 이동 중이라고 일본 교도통신이 24일(현지시간) 우크라이나 군 소식통을 인용해 보도했다. 소식통에 따르면 북한군은 우크라이나가 국경을 넘어 공격을 벌이는 러시아 서부 쿠르스크주와 로스토프주로 향하고 있을 가능성이...
[속보]3분기 韓경제 0.1% 성장…예상 밖 성장쇼크,3주 전,헤럴드경제언론사 선정,"24일 한국은행이 발표한 실질 국내총생산(속보) 결과에 따르면 3분기 실질 국내총생산(GDP)는 전기대비 0.1% 성장했다. 우리나라 경제는 1분기(1.3%) 깜짝 성장했으나, 2분기(-0.2%) 역성장으로 돌아섰고 3분기에도 예상치를 밑돌았다. 한은이 예상한 3분기 성장률은 0.5%였다. 0.4%포인트나 낮은 결과가 나온..."
"[속보] 검찰, '공직선거법 위반' 김혜경 벌금 300만원 재구형",3주 전,한국경제언론사 선정,"검찰은 24일 대선후보 경선 관련 공직선거법 위반 혐의로 불구속 기소된 이재명 더불어민주당 대표의 배우자 김혜경 씨에게 재차 벌금 300만원을 구형했다. 검찰은 이날 오전 수원지법 형사13부(박정호 부장판사) 심리로 열린 김씨의 공직선거법 위반 사건 두 번째 결심 공판에서 ""본건은 피고인이 유력..."
[속보]상급종합병원 구조전환에 세브란스·고대안암 등 8개 병원 선정,3주 전,파이낸셜뉴스언론사 선정,
[속보] 검찰 '공직선거법 위반' 김혜경에 벌금 300만원 재구형,3주 전,서울경제언론사 선정,"검찰이 대선후보 경선 관련 공직선거법 위반 혐의로 불구속 기소된 이재명 더불어민주당 대표의 배우자 김혜경 씨에게 벌금 300만원을 재차 구형했다. 검찰은 24일 오전 수원지법 형사13부(박정호 부장판사) 심리로 열린 김 씨의 공직선거법 위반 사건 두 번째 결심 공판에서 ""본건은 피고인이 유력 정치인들을..."
[속보]SK하이닉스 3분기 영업익 7조...반도체이익 삼성전자 넘어,3주 전,매경이코노미언론사 선정,"SK하이닉스가 24일 오전 올해 3분기(7~9월) 경영실적을 발표했다. 고대역폭 메모리(HBM) 효과로 매출과 영업이익, 순이익 모두 사상 최대 실적을 기록했다. HBM 매출은 전 분기 대비 70% 이상 증가했다. SK하이닉스는 24일 3분기 매출 17조5731억 원, 영업이익 7조300억 원을 거뒀다고 공시했다...."
[속보] SK하이닉스 지붕 뚫었다...역대 최대 영업이익 7조300억 원으로 신...,3주 전,한국일보언론사 선정,"SK하이닉스가 3분기(7~9월) 매출 17조5,731억 원, 영업이익 7조300억 원(영업이익률 40%), 순이익 5조7,534억 원(순이익률 33%)을 기록했다고 공시했다. 분기 기준 사상 최대 실적이다. 특히 영업이익은 반도체 슈퍼 호황기로 최대 실적을 기록한 2018년 3분기 6조4,724억 원을 크게 뛰어넘었다. 매출 역시..."
[속보] 상급병원 구조전환 지원사업에 세브란스 등 8개 병원 1차 선정,3주 전,한국경제언론사 선정,상급종합병원을 중증 질환 중심으로 재편하는 구조 전환 지원사업에 참여하는 의료기관으로 세브란스병원 등 8곳이 1차 선정됐다. 보건복지부는 24일 열린 의사 집단행동 중앙재난안전대책본부(중대본) 회의 모두발언을 통해 이런 내용의 선정평가 결과를 발표했다. 선정된 8개 상급종합병원은 경북대병원...
[속보]SK하이닉스 3분기 영업익 7조...반도체이익 삼성전자 넘어,3주 전,매경이코노미언론사 선정,"SK하이닉스가 24일 오전 올해 3분기(7~9월) 경영실적을 발표했다. 고대역폭 메모리(HBM) 효과로 매출과 영업이익, 순이익 모두 사상 최대 실적을 기록했다. HBM 매출은 전 분기 대비 70% 이상 증가했다. SK하이닉스는 24일 3분기 매출 17조5731억 원, 영업이익 7조300억 원을 거뒀다고 공시했다...."
[속보] 美 “북한군 3천명 러서 훈련중…우크라전 투입땐 정당한 표적”,3주 전,매일경제언론사 선정,"美백악관, 북한군 러시아 파병 공식 확인 “지난달 원산서 블라디보스토크로 이동” 인도태평양에 미칠 영향 우려 커져 美“수일 내에 러 전쟁 조력자 제재 발표” 미국 백악관이 북한군의 러시아 파병을 공식 확인하고서 북한군이 우크라이나 전쟁에 투입되면 분명 피해를 볼 것이라고 경고했다. 존 커비 백악관..."
[속보] SK하이닉스 지붕 뚫었다...역대 최대 영업이익 7조300억 원으로 신...,3주 전,한국일보언론사 선정,"SK하이닉스가 3분기(7~9월) 매출 17조5,731억 원, 영업이익 7조300억 원(영업이익률 40%), 순이익 5조7,534억 원(순이익률 33%)을 기록했다고 공시했다. 분기 기준 사상 최대 실적이다. 특히 영업이익은 반도체 슈퍼 호황기로 최대 실적을 기록한 2018년 3분기 6조4,724억 원을 크게 뛰어넘었다. 매출 역시..."
[속보] 부산 주한미군 55보급창서 큰 불…대응 2단계,3주 전,KBS언론사 선정,부산 주한미군 55보급창서 큰 불…대응 2단계
